[rosmaster.master][INFO] 2026-07-21 17:00:31,881: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/', 'http://127.0.0.1:36687/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:00:31,881: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/', 'http://127.0.0.1:36687/', 'http://127.0.0.1:42271/']
[rosmaster.master][INFO] 2026-07-21 17:00:31,882: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/', 'http://127.0.0.1:36687/', 'http://127.0.0.1:42271/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:00:31,921: +PUB [/rosout] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,923: +SUB [/clock] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,924: +SERVICE [/v2_scan_transport/get_loggers] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,924: +SERVICE [/v2_scan_transport/set_logger_level] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,927: +PUB [/scan] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,928: +SUB [/v2/scan_raw] /v2_scan_transport http://127.0.0.1:41937/
[rosmaster.master][INFO] 2026-07-21 17:00:31,954: +PUB [/rosout] /r6_rule_context_supervisor http://127.0.0.1:44939/
[rosmaster.master][INFO] 2026-07-21 17:00:31,956: +SUB [/clock] /r6_rule_context_supervisor http://127.0.0.1:44939/
[rosmaster.master][INFO] 2026-07-21 17:00:31,957: +SERVICE [/r6_rule_context_supervisor/get_loggers] /r6_rule_context_supervisor http://127.0.0.1:44939/
[rosmaster.master][INFO] 2026-07-21 17:00:31,958: +SERVICE [/r6_rule_context_supervisor/set_logger_level] /r6_rule_context_supervisor http://127.0.0.1:44939/
[rosmaster.master][INFO] 2026-07-21 17:00:31,960: +PUB [/rosout] /tracks_to_teb_obstacles http://127.0.0.1:41405/
[rosmaster.master][INFO] 2026-07-21 17:00:31,962: +SUB [/clock] /tracks_to_teb_obstacles http://127.0.0.1:41405/
[rosmaster.master][INFO] 2026-07-21 17:00:31,963: +SERVICE [/tracks_to_teb_obstacles/get_loggers] /tracks_to_teb_obstacles http://127.0.0.1:41405/
[rosmaster.master][INFO] 2026-07-21 17:00:31,964: +SERVICE [/tracks_to_teb_obstacles/set_logger_level] /tracks_to_teb_obstacles http://127.0.0.1:41405/
[rosmaster.master][INFO] 2026-07-21 17:00:31,965: +PUB [/teb_mode_manager/context] /r6_rule_context_supervisor http://127.0.0.1:44939/
[rosmaster.master][INFO] 2026-07-21 17:00:31,966: +PUB [/teb_mode_manager/transition] /r6_rule_context_supervisor http://127.0.0.1:44939/
